,Title,Score,Comment
37,롱 리브 더 킹: 목포 영웅,10,오랜만에 봤는데 재미있네요 ㅎㅎ 잘만들었어요 ㅎ
38,노회찬6411,2,받아쳐먹고 떨어지는건 같은패턴인데신격화가 잘 안되는건 좀 다른듯
39,듄,8,짜장만 아니였어도 몰입도있었을텐데 짜장나올때마다 딥빡치네
40,주토피아,10,
41,펭귄 하이웨이,4,그 펭귄 나는 씬 말골 딱히 볼만한 그런게 없음 뭔가 신선함을 추구할려다가 중구난방해짐
42,듄,10,
43,라스트 듀얼: 최후의 결투,10,그냥 시간 맞아서 봤는데 돈이 안아까움
44,인 더 하우스,8,역시 프랑스영화는 대사가 많군요ㅋ프랑소와감독영화 정주행하고 있는데훌륭한작품들이 많아요인더하우스도 괜찮았어요
45,롱 리브 더 킹: 목포 영웅,10,최만수=장제원 아님? 씽크로율쩌네ㅋㅋㅋ
46,라스트 듀얼: 최후의 결투,10,맷데이먼 아담 드라이버 조디 코머.. 평생 연기 해주라.. 장마다.. 연기 미묘한 감정선 감탄만 나옴.
47,듄,8,거대한 서사의 시작을 알리는 초석. 웅장한 음악과 연출 사이에서 어느새 몰입된 나 자신을 발견했다. 배우들의 눈동자가 무엇보다 강력하게 다가온다.
48,베놈 2: 렛 데어 비 카니지,1,진짜 이 좋은 소재를 이따구로 망쳐놓네
49,오블리비언,10,결말이 진짜 지린다..결말때문에 조금 지루했던초중반도 문제가 안됨10점짱리 영화..
50,듄,10,"압도적인 영상미와 사운드 그리고 방대한스토리, 배우들의 연기 어디하나 빠짐없는 좋은 영화였네요. 반지의제왕 시리즈이후 최고입니다. 이런 영화는 꼭 극장에서 봐야합니다. 2시간30분이 이토록 짧을 줄이야ㅠㅠ 벌써 2편이 기대됩니다."
51,브라더,1,빈 박스 소리 듣고 바로 끔ㅋㅋㅋ
52,베놈 2: 렛 데어 비 카니지,1,게임 시네마틱 수준 보다 못함.예고편만봐도 영화를 다 본거라고 봐도 무방함.
53,듄,10,두시간이 후딱 지나가버림 ㅋㅋㅋ
54,듄,10,영화 보고나서 여운이 아직도 가시질 않아요 빨리 2도 나왔으면 좋겠어요ㅎ
55,듄,10,몰입할 수 밖에 없는 영화에요.. 티모시 사랑해...
56,라스트 듀얼: 최후의 결투,10,"배우들의 미친 연기력이 압권, 지금을 사는 우리도 너무도 공감 가능한 이야기!"
57,듄,10,와 너무 재미씀 ㅋㅋ 또 봐야지 ㅋㅋ
58,듄,10,간만에 영화다운 영화를 만났네요
59,듄,10,감독 믿고 봐도 되는 영화
60,라스트 듀얼: 최후의 결투,10,보는내내 쉴 틈 없이 빠져 들었구 마지막 결투 장면이 박진감있고 좋았다!
61,브라더,2,차라리 코믹으로 만들지.. ㅋㅋ
62,라스트 듀얼: 최후의 결투,10,미술 소품 배경들까지 개조아 ㅜㅜㅜ 스콧 감독님 영화 오래오래 만들어주세용..
63,온리 포 유,9,자신을 감추는 노력은 나로서 사랑받고 있는지 의심하게 한다.
64,라스트 듀얼: 최후의 결투,10,끝나자마자 바로 한번 더 보고싶었음... 조만간 n차 찍으러 가야겠다 ㅎㅎㅎ
65,듄,10,"티모시 샬라메 눈빛, 연기가 너무 멋있습니다..."
66,라스트 듀얼: 최후의 결투,10,마지막 두 배우의 연기가 끝내준다
67,라스트 듀얼: 최후의 결투,10,각 캐릭터의 심리를 정말 잘 표현해 줘서 많은 생각이 남는 영화였어요.
68,베놈 2: 렛 데어 비 카니지,4,1도 별로 였는데 2는 더 별로임.스토리 없고 현란한 액션만 있음.그래도 만드느라 고생했을테니 별2개 줌
69,듄,10,어려운 내용이라 지루하지 않을까 걱정했는데 영상미가 대체했고 알아가는 재미가 있는 영화
70,라스트 듀얼: 최후의 결투,10,완벽한 구성과 연기력으로 긴 시간동안 지루함 없이 봤습니다.
71,듄,10,"영상미, 음향, 세계관 다 대단합니다 대신 세계관공부하고 보는걸 추천해요"
72,듄,10,어렵대서 걱정했으나 잘만 이해되더란. 또 볼거임.
73,울림의 탄생,10,영화 보는 내내 가슴뭉클하고  감동적이었습니다  영상도 이야기도  너무 좋았고  임선빈 장인의 북만드는 이야기  구성과  음악들도  좋았습니다  다큐영화로서 너무 재미있게? 보았고  몇년간 본  다큐영화중에  최고였습니다  또 와서 보고  싶네요
74,라스트 듀얼: 최후의 결투,10,시간이 어떻게 지나 가는 줄 모르고 관람하고 옴 중세물은 극장에서 봐야 함
75,듄,8,우려보다는 이해하기 쉽게 만들었음. 아이맥스로 봐서인지 지루하지 않았고 영상과 한스짐머의 음악이 몰입하게 했지만 아는 얘기여서인지 익숙한 연출스타일이어서인지 신선하진 않았음. 대하소설+장중한 연출스타일이 잘 어울리는것 같으면서도 최고의 조합인지는 의문. 문득 알폰소 쿠아론이 만들었으면 어땠을까 싶었음
76,라스트 듀얼: 최후의 결투,10,영화의 스토리도 좋고 중세의 사실적 묘사에 감탄함
77,당신얼굴 앞에서,10,삶을 잔잔히 여유를 가지고 관조하는 모습을 보았습니다.  권해효 배우의 문자 메세지에서 빵 터져 웃음이 나왔네요 ㅎㅎ
78,헌터 킬러,10,정말이지 화장실 가는 시간이 아까울 정도..!!
79,모가디슈,10,
80,알.이.씨4: 아포칼립스,10,Rec시리중에 제일 재밌는것같습니다.  rec5는 안나오나 마지막에 떡밥 회수해야지
81,베놈 2: 렛 데어 비 카니지,6,짱박혀서 양계장이나 하세요
82,듄,2,별한개도 아깝다  반지의제왕 감독이맞았다고 시서서 봤더니  내용도 모르겠고  무진장 졸며 봤다   줄거리 팩트가 뭔지  영  두번째 나와도  안보것다상술써서  1~2편 만드나 본데 오산이다다신 안보것다 수면제  영화는 첨본다줄거리 인과관계가  뭔지  영  별로다
83,코쿠리코 언덕에서,6,"제발 일본 아티스트들이 전쟁, 성범죄, 생체실험 등의 과오를 모른척하고 이런 낭만적인 수작 안 만들어내면 좋겠다. 뭘 저렇게 엄숙하고 멋있는 척들을 하는지. 한국전쟁이라는 단어를 안 넣었으면 몰라, 넣었으면 은근슬쩍 모른척 하지말고 확실하게 반성하는 작품을 좀 만들길 바랍니다. 욱일기와 일장기 색인 빨간색도 당연히 안 넣어야죠. 이제는 모른척으로 일관하면 당신들 돈 못 법니다."
84,퍼펙트 케어,4,이 여잔 항상 사이코적인 역을  자주 하네
85,타짜,10,"영화 첫 시작 대사부터마지막 엔딩까지 읊을수 있는 영화는 타짜가 유일하다. 연기력, 플롯 , 캐릭터, 대사 , 배경음악, 편집까지 흠잡을곳 하나 없는 최고의 영화"
86,핫 썸머 나이츠,8,티미 본 것 만으로 만족. 사랑스러워~
87,쇼생크 탈출,10,보고 또 봐도 감동입니다.
88,디센트,10,기대안하고 우연히 봤는데 진짜 재밌게 봤어요! 스토리 전개가 빠르게 이어지는편이어서 집중력있게 흥미진진하게 잘봤어요 동굴이라는 소재도 신선해서 생각보다 정말 재밌게 봤어요
89,한공주,9,적반하장의 가해자부모들..영화보는 데 찜찝함
90,죽지않는 인간들의 밤,8,난 겁나 재밋게 봤음 ㅋㅋ영화관에서 보고 넷플로 보고 티비로 보고
91,라스트 듀얼: 최후의 결투,10,코로나이후 최고의영화.공장에서 직어낸 긴장감없는영화들과 비교불가.마지막 10분은 2002년 월드컵4강때 만큼이나 쫄깃함
92,베놈 2: 렛 데어 비 카니지,4,이거 스토리 전개가 잘못되어서 곱창난듯 그렇게 좋은 카니지 필살기를 이따위로 밖에 표현이 안되다니.. 1보다 못함 ㅜ 처음엔 베놈과 잘어울린 에디인데 급뜬금없이 티격태격도 억지느낌나고  화해방식도 너무 진실성떨어짐    차라리 에디 카니지 조우 1차 전투 ㅡ에디쪽 패후 2차 전투 재정비 카니지 분열로  베놈 승 식으로 갔어야했다고 생각함 너무 직선적이라서 스토리가 좀그랬 오죽하면 쿠키영상 볼려고 2시간 희생했다는 말이 나오겟나카니지 베놈표현은 좋은데 스토리 진행이 구닥따리임
93,블레이드 러너 2049,10,진짜 전작을 해치지 않으면서 감독의 작법으로 만든 최고의 후속작 영상미는 진짜 감독의 역량이 아닐까 미장센도 대단하고 당해 최고의 영상미
94,라스트 듀얼: 최후의 결투,10,두 시간 반 동안 한 순간도 눈을 뗄 수 없었어요
95,라스트 듀얼: 최후의 결투,10,사람은 죄를 짓고 살면 안된다 착하고 바르게 살아가자
96,라스트 듀얼: 최후의 결투,10,하나의 사건에 3가지 관점으로 바라 본 점이 좋았다ㅎㅎ
97,라스트 듀얼: 최후의 결투,10,긴 시간 지루할 틈 없이 재미있게 잘 봤습니다^^
98,라스트 듀얼: 최후의 결투,10,역시 리들리스콧~ 잘 만들었네요~
99,라스트 듀얼: 최후의 결투,10,긴 러닝타임이 1분도 지루하지가 않다
100,순수의 시대,10,불과 조금 더 젊었을 때만 하더라도 매력 터지는 돌싱 주인공과의 사랑을 응원했는데 나이가 드니까 깨닫게 돼요 메이의 넓고 깊은 사랑이 한 사람의 일생에 어떤 가치를 주었는지 이 깊이를 깨닫는 시간을 영화를 통해 접할 수 있다는 게 너무나 놀랍습니다
101,패트리어트 워,5,분명히 더 재밌고 몰입감 있게 만들수 있었다.
102,듄,10,연출이 기가막힙니다. 진짜 1초도 집중을 안할 수가 없음.
103,듄,10,대흉근이 웅장해진다 재밌습니다 보세용
104,롱 리브 더 킹: 목포 영웅,6,저여자국회의원후보 말하는거 겁나얆밉다   용역일을햇지만  그래도잘살아보겟다는데   니일이나잘해  겁나네가지없는년
105,휴가,9,아주  평범한 사람이 자신의 의지대로삶을 부여잡고 살아나간다.삶은 식사고 식사는 진실한 삶이다.
106,친구,10,캬~~~ 다시 봐도 명작
107,베놈 2: 렛 데어 비 카니지,10,재밋음급하게끝낸 느낌
108,악녀,7,액션연출은 끝내줬지만 각본에 좀더 신경써더라면...
109,박쥐,8,나도 모르게 갈증이 생길 것 같은... 대체 이 영화는 뭐지?
110,라스트 듀얼: 최후의 결투,10,"리들리 스콧의 대표작 중 하나가 될 듯.. 챕터가 넘어갈수록 스토리, 연기가 미쳤다"
111,듄,2,하아 정서에 안맞음뭐가 대작인지소설 본사람들만 보길
112,듄,10,
113,밀레니엄 : 여자를 증오한 남자들,5,아 내가 보기엔 너무 쎄다...소설 읽었을때도 너무 쎄서 읽다말고 중고서적에 팔려고 했는데 재고가 많아서 안팔았는데..내가 읽을때 왜 싫었지 궁금해서 봤는데...센거 좋아하는분들 추천임ㅠ
114,듄,9,영상과 음악이 개쩝니다. 그런데 스토리는 쏘쏘. 고전이라 그런지 어쩔수없이 좀 올드하고 아 이제 시작이구나 싶을때 끝남.  그럼에도 추천하는 이유는 영화적 경험이라고 해야할까요. 보면서 그래비티가 좀 생각났는데 그래비티처럼 경험하는 영화라 생각됩니다.
115,휴가,10,소박한 삶 속에서 느끼는 잔잔한 느낌과 가슴 먹먹해 지는 감동..  섬세한 묘사와 리얼리티로 인해서 더욱 현실감이 느껴지고 내 삶을 돌아보게 만드네요. 간만에 좋은 영화 봤어요
116,베놈 2: 렛 데어 비 카니지,6,"베놈2 보고왔습니다. 영화...꼭 안봐도 좋습니다. 하지만 닥터스트레인지 하나만 기억해 주세요. 진심을 다해 전합니다. 영화가 별로일 수도 있습니다. 낮에 예매하고 밤에 봤습니다. 최선을 다해 본편을 봤고, 쿠키에 열광했습니다. 저의 진심이 느껴지기를 바랍니다 감사합니다"
117,듄,9,웅장함에 소름만 몇번 돋았는지 모르겠고 후속편이 너무나도 기대된다.
118,울림의 탄생,10,한 번의 울림을 위해 인내하는 수많은 시간들
119,라스트 듀얼: 최후의 결투,10,리들리스콧이라는 것 하나만으로도 극장에서 볼 이유 충분한 영화였음
120,더 샌드,10,꿀잼! 감독 천재인거 같음.
121,보이스,10,와 이렇게 진행되는구나.... PTSD ㅎㄷㄷ
122,너의 이름은.,9,솔직히 처음 봤을땐 이해가 안될 수도있는데 끝나고 나무위키를 보니까 이해가 어느정도 되는 듯 싶다.영상미나 색감이 아주 좋은듯 싶고. 여러 시간대와 주인공 두명의 시점이 번갈아가며 나와 좀 헷갈렸지만 일본 특유의 문화와 서로 연결이 닿을듯 말듯 하는 그런 요소들이 좋았던 듯 싶다
123,피치 퍼펙트: 언프리티 걸즈,6,"1편보고 2편보니 조잡한느낌...코펜하겐에서 돈줬는지 관광 광고하는 부분이나, 베카서사부분도 어색햇고.. 모든걸 다 넣으려니 어색.. 무엇보다 자작곡도 먼가 미스매치된느낌..??1편이 순수하고 깔끔한느낌이였음"
124,휴가,10,"나라면 어떻게 했을까? 담담하고 차분하게 풀어가는 재복의 행동, 대사 하나하나가 묵직하게 가슴에 와 닿는 영화. 담백하면서 슴슴한 할머니의 소고기무국 한 그릇 감사하게 먹은 느낌이에요.^^"
125,휴가,10,겉으로만 보고 스쳐지나갔던 사회 상 이면의 모습들을 볼 수 있습니다. 깨알 재미도 숨어있고 10대들의 실제 모습도 잘 담겨있네요~ ㅎㅎㅎ 한때 나도 컵라면 많이 먹었는데… 생각났어요.
126,듄,10,2편 언제나옴??? 아 계속 보고싶다 ㅡㅡ
127,휴가,10,재복의 휴가 동안 일어나는 일들을 보며 내가 평소에 생각했던 ''휴가'라는 단어가 가진 의미에 대해 다시 생각해 보았다.  재복 뿐 아니라 등장한 모든 인물들의 마음이 하나하나 다 이해되고 공감되어 영화를 보는 내내 잠시도 딴 생각을 할 수 없었던  '휴가'. 내가 재복이었다면 어땠을까?  우리 주변에서 흔히 일어날 수 있는 일 그리고 등장인물들이 내 주변에 있는 사람들이라고 생각하니 가슴이 먹먹해진다.
128,듄,7,일단 난 원작을 모르는 상태에서 봄.아이맥스로 봐서 영상미는 상당히 웅장하니 멋있었음.드니 빌뇌브 감독 특징이 영화를 상당히 천천히 풀어나간다는건데 이걸 알고 있는 상태에서 봐도 영화가 상당히 길게 느껴짐.시리즈물의 시작이라 대중적인 SF를 기대하면서 보면 실망을 좀 할거 같음(액션신은 예고편에서 보여준게 전부라고 봐도 무방)
129,듄,10,이 영화는 보고 평을 하기보단 그냥 느껴야 할듯. .
130,미스터 스마일,7,로버트 레드포드 다운 연기인생의 마무리.
131,듄,10,개꿀잼명작잼듄2가 기대됨
132,노회찬6411,6,뇌물받고 죽은 사람 뭐가 좋다고 빨아댐? 좌빨들 수준
133,썸머 워즈,8,뭔가 내용은 되게 단순한 편인데 중간중간 감동적인 요소들이 섞여있어서 여운이 남는 영화인듯 하다.
134,007 노 타임 투 다이,10,007영화는 실망시키지 않는데 이번 시리즈는 더욱 그런거 같다.
135,듄,10,진짜 너무 너무 재밌어요~~^^무조건 보세요~♡
136,모가디슈,10,개인적으로 난 통일은 원하지 않는다. 그러기엔 우리는 너무 먼길을 다르게 살아 왔다. 그냥 있는 그대로 서로를 인정 해야 하는게 진정한 통일이 아닐까? 그래서... 이영화를 보는 내내 더그들도 같은 마음이었을까?
137,디지몬 어드벤처 라스트 에볼루션 : 인연,10,선택받은 아이들이 선택하는 어른이 되는 과정을 담은 애니메이션..
138,듄,9,리산 알 가입
139,007 노 타임 투 다이,10,개인적으론 매우 재밌게 봤다.
140,베놈 2: 렛 데어 비 카니지,7,베놈2 : 부부싸움은 칼로 물베기
141,듄,9,초반부의 지루함이 조금 힘들게 만들었지만 큰 세계관 속에서 다양한 인물들의 서사는 뛰어난 연출롤 잘 풀어냈다고 생각한다. 듄 책을 구입해서 읽어볼까 심히 고민하는중이다ㅋㅋ
142,듄,9,무조건 아맥아니면 돌비로 봐야만 하는 영화
143,모가디슈,9,연출 연기는 좋았다 하지만빨갱이는 빨갱인것을 보여줌 물과 그름 섞이지못한다
144,듄,1,진짜 구려요 보지마세요 제발
145,듄,1,이상해요보지마세요ㅠㅠㅠ
146,듄,10,소설을 읽은 사람들은 꼭 보기를 권합니다!
147,듄,10,시간 가는줄 모르고 봤다.. 잠온다는 애들은 신파극좀 덜 보길
148,듄,5,듄 원작에 대해서 인지가 없는 상태로 봐서 그런가 저는 개인적으로 별로였습니다. 하지만 영화 ost랑 배우들의 연기력 만큼은 괜찮았네요.
149,듄,10,옛날 게임 생각하며 잔인할줄 알았는데 그런거 없었고재밌어요 추천!
150,듄,10,테넷 이후 메마른 땅에 단비같은 아이맥스 영화! 반드시 아이맥스로 경험해야 할 영화!
151,듄,2,절대 보지마세요 개 쓰레기임
152,베놈 2: 렛 데어 비 카니지,6,ㄹㅇ 쿠키영상이 레전드
153,고령가 소년 살인사건,10,볼만함
154,듄,1,ㅈㄴ 늘어짐 재미없음 절대보지마요
155,위대한 개츠비,10,"잡히지 않는 과거의 추억과 공상의 신기루를 품어 가장 따뜻한 색의 사랑을 지닌 자, 개츠비. 믿음과 확신이 없는 상황은 더 강한 믿음과 확신을 초래한다. 불안이 깊이 심어 질 수록 뿌리를 잡아두기 위해 사투하니까. 그 사투는 믿음과 확신을 갈구한 채 현실과 투쟁한다. 개츠비는 사랑을 근본으로 삼았고 갈구하고 믿어오며 현실과 투쟁했다. 시련깊은 현실 속 중간중간 개츠비가 감정을 억누르며 미소를 보일 때마다 씁쓸했다. 불안이 일렁여도 멈추고 웃음짓던 개츠비의 모습에 여운이 남는다."
156,베놈 2: 렛 데어 비 카니지,7,오 오오~ 재밌어지려고 하네?!(잠시후)아니 갑자기 이렇게 끝난다고?
157,듄,10,오랜만에 극장에서 볼만한 영화 돈 안아까움..아이맥스 강추 ㅠ 더 보고싶은데 자리가 없다 ㅠㅠ
158,기적,10,"친구와 함께 <베놈2>를 보려다가 나이제한 때문에 <기적>을 보았는데, 오히려 좋았습니다! 배우들의 연기도 매우 좋았고, 감동적이고 OST도 좋았습니다! 가족, 연인, 친구들과 함께 보기도 매우 좋은 영화인 것 같습니다!!!"
159,듄,9,
160,듄,10,"돈 안아까운 영화 정말 오랜만이네요.영상미, 음향이 죽여줘요"
161,혼자 사는 사람들,10,그냥 넷플에서 켰다가 잔잔하면서 뭐지?보게 되다가 끝까지 보게되는! 큰 기대없이 잔잔하게 보고픈 영화. 그렇다고 부족함없는 영화. 공승연 연기가 참 좋더라구요. 표정 말투 행동! 주인공을 잘 표현한 영화.
162,보이스,9,"전체적으로 괜찮음, 변요한 캐릭터가 좀 약함, 스토리가 매끄럽지않은 부분 가끔 있음"
163,듄,8,기대안하고 봤는데 볼만했어요 주변인이 물어보면 보라고 추천해줄겁니다 일단 티모시 외에 아쿠아맨 타노스 드랙스 젠다야 하비에르바르뎀 등등 나와서 배우들 보는 재미가 있음
164,광란의 사랑,5,"시종일관 불쾌하고 지루하다가, 마지막에 은행터는 씬 하나 건졌다. 지금 시각에선 오그라드는 감성 연출과 노래하는 엔딩. 멀홀랜드 드라이브를 만들기 위한 과도기적 영화인데, 얻어걸린 칸 황금종려상 와우"
165,레미제라블,10,인물 하나하나의 변화가 굉장히 잘 나타나는 뛰어난 연출의 영화.증오로 시작한 장발장이 구원을 받고 그의 사상이 자베르까지 바꾸는.본인만의 정의에 사로잡힌 자베르가 장발장에게 구원받는.괴력을 소유하던 장발장이 나중에는 개인짐조차 들지못하고 주름이 늘어가는 뛰어난 연출.신부에게 구원받을때 혼란스러워하는 표정연기까지 완벽하다.
166,듄,10,"여기에서 끝나지 말고 2,3계속 이어나가자 재미있다"
167,듄,1,감독에게 실망입니다. 때깔만 멋지고 내용은 고리타분 그 자체. 본 시간이 아깝네요. 아무리 원작이 1970년대 작품이라고는 하지만 현 시대에 맞게 조정해서 만드는 게 그렇게 불가능했던 건가요? 차라리 다른 감독이 만들었으면 영화에서 성차별 인종차별 하는 거 너무 익숙하니까 그러려니 했을 것 같은데 드니빌뇌브 감독이 만들어서 더욱 구리고 실망스러운 것 같아요. 감독의 연출력과 영화에 들어갔을 자본과 공이 너무너무 아깝습니다. 오늘날과 미래에 걸맞는 각본에 집중하셨으면 ㅠ
168,블랙 호크 다운,8,2001년도 영화를  이OO이 지난 2021년도에 보았는데 전혀 촌스럽지가 않네요
169,듄,9,"영상미 좋고, 음악 다 좋다. 근데, 행성강습 우주선 타고와서 칼 싸움은 좀 아니지 않나? 벽 뚫던 레이저가 무기로는 젤 좋아보이던데..."
170,듄,9,새로운 세계관이 펼쳐진다..
171,듄,10,극장이 이래서 존재해야함
172,듄,10,재밌게봤어요젠다야 존재감 2편에서 터지겠죠?
173,라스트 듀얼: 최후의 결투,10,진짜 멋진 영화!!!강추합니다!!
174,라스트 듀얼: 최후의 결투,10,보고나면 깊고 진한 여운같은게 있다. 영화를 한번 다시 되돌아보게 만드는 중독적인 매력이 있다.
175,라스트 듀얼: 최후의 결투,10,다들 연기 너무 잘해요ㅠㅠㅠ
176,킹덤 오브 헤븐,10,
177,듄,10,웅장한 세계관과 더불어 볼거리까지..눈이 즐거운 영화였다~!
178,라스트 듀얼: 최후의 결투,9,"현재 사극을 가장 잘 만드는 감독이 리들리 스콧임은 모두가 동의할 것이다. 서사는 익숙하지만, 시대고발적인 메시지는 강렬하다. 특히 모든 추악한 진실이 드러나는 챕터3, 그리고 결투 승리 후에도 웃지 못하는 조디 코머의 표정이 주는 인상은 리들리 스콧이 본인 스스로 이 영화를 훌륭하다 말한 이유를 충분히 납득시킨다."
179,듄,10,아라키스 행성 그대로 옮겨놓은거같아..
180,듄,10,설정부터 너무 독특하고 신선했던 영화
181,듄,10,영화 자체가 주는 낭만과 재미가 좋았어요
182,듄,10,매력넘치는 영화! 오랜만에 영화다웠다ㅎㅎㅎ
183,듄,10,잼나요 그리고 설정부터 신선했어요
184,듄,10,드니빌뇌브 ㄷㄷㄷ역시나
185,메이헴,6,신선한 자연산 횟감으로 들큼한 젤리를 만든 꼴. 그래도 아주 못먹어줄 맛은 아니다.
186,듄,10,진짜 매력적인 영화..
187,걷기왕,10,
188,듄,10,관람 예정 아맥으루 봐야딩 ㅋ
189,듄,6,가기 전에 1984년 데이빗린치 감독의 사구를 감상하고 가시길 추천합니다. 그래야 모든 게 이해됩니다. 배경지식없이 영상미가 화려하니 어쩌니 말하는 사람들은 진짜 나만 당할수 없다는 그런 의도로 후기를 쓴 것이니 절대 믿지 말것.
190,듄,10,너무 좋아요! 재밋게 잘 보고왔습니다!
