,Title,Score,Comment
84,너의 이름은.,10,정말 재밌는 애니. 본 애니메이션중 최고라 생각함
85,레드 로켓,6,영상미가 좋았어요. 쨍한 색감. 근데 스토리는 참...
86,소울메이트,10,
87,명탐정 코난: 할로윈의 신부,7,코난 시리즈 다 재밌게 보긴했지만 전 베이커가의 유령 이때가 그립네요
88,바빌론,10,뭐.. 난 내용이 3시간까지는 개안은 영화였는데 브래드 피트나 다른 배우들 연기 보는 것도 즐거웠고. 근데 다른 관람객 분 평점론 읽어보면 3시간이 걸리는 내용이었다 싶기도 하다. 왜냐면 3시간을 보기에는 그 레이 찰스 영화 <레이>처럼 쫄깃한 딴 할 때 딴 이런 박자감이 나랑은 다르게 느껴졌어서. 일단 내가 평가할 뭐가 아니라서 리뷰 평점은 쓸 때마다 10점인 건데 기자평론가 평점 중에서 씨네21| 배동미 님 의견이 가장 공감.
89,배드 럭 뱅잉,5,전 블랙코미디가 잘 안맞나봐요...
90,아이 엠 러브,6,엠마…엠마…엠마…I am love.
91,비상선언,6,억지로 쥐어짜내는 그런 느낌이 참 별로였어요. 아니 피해주기 싫다고 이대로 안돌아가겠다고 그러는게 넘 현실성없는느낌?
92,헌트,8,여기저기 나오는 카메오 보는 재미도 있고 이정재 정우성 배우님 연기도 잘하고 재밌었어요
93,놉,8,영화 진짜 너무 재밌게 봤어요. 이해하긴 힘들었지만 영화보고 나와서 해석영상 엄청 찾아봤네요
94,불릿 트레인,6,그냥저냥 시간떼우는 용으로 보면 딱이에요
95,스타게이저: 아스트로스코프,10,아스트로의 찐매력 압축판
96,풀타임,9,진짜 넘 안쓰러웠음 ㅠㅠ 저렇게 어떻게 사나싶고ㅠㅠ
97,아더 우먼,8,기분 꿀꿀할때 이런 영화가 좋더라
98,썬다운,8,처음엔 이해가 안됐는데 결말을 보니 너무 공감가도 휴양지라서 영상이 너무 예뻐요
99,사랑할 땐 누구나 최악이 된다,8,영화 자체는 재밌었지만 여주의 선택들이 진짜 너무 속터지는줄
100,바빌론,10,조금은 성급할 수도 있지만 감히 23년 최고의 영화라고 말할 수 있을 듯하다. (나에게는..)
101,공조2: 인터내셔날,7,무난하게 재밌게 볼 수 있었어요
102,정직한 후보2,8,진짜 너무 웃겨욬ㅋㅋ 영화보는 내내 상영관에서 다들 빵터져서 재밌게 봤어요
103,스즈메의 문단속,2,이게모지 ? 죙일 문만닫다  제목따라문단속만하다진짜끝나네ㅎ내시간내돈 내놔세요 ㅠ 하아..  기대한껏했건만 ost만좋은걸로 확 끌어들이는 임팩트가 없음
104,여름 이야기,6,솔직히 전 너무 지루했어요 ㅠㅠ
105,늑대사냥,2,베테랑 형사 노가리 까고. 간호사 술 마시고 등 스토리가 산으로 가네 잔인하면 다인감
106,스즈메의 문단속,10,일본산 역대급 인생 영화
107,오펀: 천사의 탄생,7,오펀 재밌게 봤어서 이번에도 재밌게 봤습니다
108,코르사주,8,그 시절 옷도 예쁘고 화려한 느낌에 보는 재미가 있었어요.
109,라 비 앙 로즈,10,노래 진짜 홀린듯 들었어요. 인셉션에 나온 노래 하나만 알았는데 나머지 노래도 너무 좋았습니다.
110,멍뭉이,10,
111,메모리아,7,정보없이 보러갔는데 재밌게 봤어요
112,크레이지 컴페티션,7,아무 정보없이 보러간건데 재밌게 봄ㅋㅋ
113,서울대작전,1,아무리 병맛이라도 정도가 있는 법인데...
114,스즈메의 문단속,9,재난 3부작의 대미를 잘 장식하는 작품으로서 일본으로 여행가고 싶을만큼 영상미가 좋았습니다. 약간은 지브리의 향수도 있었고 주인공은 늘 뛰어다니는 클리셰도 재미있었습니다. 다만 지진이라는 자연현상을 일본 토속신앙이나 전설로 퉁치기에는 개연성이나 설명이 부족해서 너의이름은 이라는 작품에 크게 못미친것 같습니다. 다이진은 도대체 왜??? 두 전작에 비해 설득력이 떨어지는 로맨스... 하지만 재미있게 봤습니다
115,소울메이트,1,이거 왜 보는지 진짜 후회함
116,비긴 어게인,9,음악인이거나 음악의 리듬을 좋아한다면 한번쯤 보면 재밌을 영화.. 우여곡절과 아마추어 뮤지션의 성장스토리
117,스즈메의 문단속,2,중간에 너무 지루했고 여운이 남는게 없음
118,헬 독스,10,시간가는줄 모를정도 ㅋㅋ 재미있어요
119,악마를 보았다,10,좀 무섭지만 완전 볼 만한 영화입니다
120,내 몸이 사라졌다,10,꼭 봐야하는 영화. 대사도 좋고 감정고 좋고 무엇보다 음악이 좋다. 많은 생각을 하게 만든다.
121,소울메이트,6,원작이 더 나음...11
122,폴: 600미터,6,처음부터 드론에 핸드폰 달고 내렸으면...차 훔친쉑들은 신고도 안해주나?
123,대외비,2,
124,웰컴 투 동막골,10,명작을 결말을 알고도 다시 찾는다.
125,일대종사,10,"왕가위의 미장셴도 아릉답지만 찬란했던 전성기를 떠나보내는 양조위와 장쯔이의 상반된 인생관이 많은것을 생각케한다. 애틋한 맘으로 장쯔이를 떠나보내는 양조위의 마지막 말, 당신은 방향을 바꿀줄 모르는군요. 가문의 명예를 위해 모든것을 포기한 장쯔이의 회한어린 눈빛을 잊을수가 없다."
126,세자매,6,후반부 슬펐고.. 특히 희숙의 딸 보미가 제대로 한방에 사이다였다..
127,다음 소희,10,의미 있고 좋은 영화 잘 만드신 관련된 모든 분들께 감사드립니다.
128,오퍼나지: 비밀의 계단,7,초 중반 흥미진진하다가 후반부로 갈수록 너무 끌어서 살짝 지루한 감이 있다 그래도 끝까지 본다면 이 영화의 진가를 볼수 있다
129,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",5,이걸 굳이 극장에서 볼 필요가 있을까
130,메간,7,"'사탄의 인형' 전체 관람가 버전을 원한다면 괜찮은 영화지만, 무서운 영화를 원한다면 글쎄..."
131,대외비,7,배우들의 연기가 좋았어요~! 정말 추악한 정치판이네요
132,스즈메의 문단속,6,기대보다는 별로....
133,해피뻐스데이,2,이런 영화를 무슨의도로 왜 만든것인지...
134,샤잠! 신들의 분노,2,이렇게 재미없는 영화는 처음이네요.. 앞부분 보다가 지겨워서 잘뻔했어요 . 이상하게 상영관에 저랑 남친 밖에 없었는데 그 이유를 단박에 알았어요
135,헤어질 결심,10,탕웨이 박해일의 연기 그리고 스토리까지 가슴이 먹먹해지고 계속 생각나는 영화입니다..애틋함이 잊혀지지않네요 최고의 영화입니다
136,케이스 39,4,고증 오류 개쩜너무 답답함 그리고 그동안 해온 짓에 비해 너무 허무하게 죽음얼척이 없음
137,샤잠! 신들의 분노,5,다-잠Zzz. 필라델피아 어린이들의 슈퍼히어로 번개맨! 번개맨은 처음부터 용감한 영웅이었을까?! 조이랜드를 지키기 위해 일곱대죄를 찾아 떠나는 번개맨과 형제들의 흥미진진한 모험!    (12세이상 관람불가)
138,플레인,8,진부하지만 그 또한 하나의 매력.
139,태극기 휘날리며,10,40년 내인생 최고의 영화.
140,침묵,6,신선한 소재는 아니죠옛날에 조작 관련 소재 헐리웃 영화가 있었는데 그거 카피한거고부성애만 섞은거니깐일단 전개가 넘 느려서 지루한 면이 있습니다결말이 훤히 잘 보이는 그럭저럭 영상미는 괜찮은 영화정도 이네요
141,스즈메의 문단속,2,영상미는 이쁘지만 반복적인 단순한 스토리로 내용이 아주 지루해요...
142,마루이 비디오,4,결제하고선 평을 봤는데 안좋길래 최악을 생각하고 봤는데 의외로 배우분들 연기가 어색하지 않았고 속도감 있어서 좋았습니다. 어색한 씨지는 안들어가는게 더 나았을거 같지만 나름대로 괜찮았던 것 같아요.
143,압꾸정,2,학생들이 만든 유튜브 드라마같은 느낌..
144,똑똑똑,5,배우들 연기 잘 봤습니다
145,에브리씽 에브리웨어 올 앳 원스+,9,상식을 깨부수는 몰입감
146,멍뭉이,6,끝까지 함께 할 자신이 없다면 시작도 하지 말 것
147,RRR: 라이즈 로어 리볼트,8,"인도영화 특유의 오버액션,긴 러닝타임, 억지스런 개연성, 어색한 CG지만 인도인들이 좋아할만한 요소들은 다 갖춘영화라는 느낌이 든다."
148,비스트,1,사자보다 첫째딸이 비스트네
149,버드 박스,1,진짜 이렇게 재미없는 영화 처음봅니다원인도 안나오고 뜬금없는 장면만나오고 그냥시간아까움
150,스즈메의 문단속,2,그냥 여고생이 등교하다 잘생긴 남자한테 갑자기 반하고 괜히 따라가서 일 벌리고 똥싸고 똥치우느라 급급한 영화였음 너의 이름은이 너무 대작이라 기대를 많이 하고 봤는데 기대가 커서 그랬는지는 몰라도 이번 영화는 개인적으로 진짜 별로였음… 레드윔프스 노래는 그래도 기깔났으니 2점…
151,플레인,10,"평점은 절대평가가 아니라 장르안에서 목적에 충실하면 만점짜리임. 티켓파워 가진 네임드배우가 제라드버틀러 하나로 이 정도 뽑아냈으면 훌륭한거임. 필요이상으로 잔인하지않고, 오함마로 뚝배기 깰 때랑 대물저격총으로 관통샷 날릴 때 타격감은 호쾌함 마저 들 정도. 승객 중에 민폐캐릭터 있을 법한데도, 중요한 순간에 귀신같이 조용하고 말 잘들어서 좋았음. (보통 패닉에 빠져 비명질러서 어그로 끌다가 전체를 곤란하게 하거나, 파당짓고 갈라치기하는 민폐 클리셰가 없어서 좋았음) 마지막에 과다출혈로 죽는거 아닌가 조마조마 했다가 아니어서 다행. 해피엔딩이라 더 좋고, 팦콘도 맛나서 더 완벽."
152,악마를 보았다,10,"손해봤다는 느낌이 들지만, 손해는 아니다."
153,화성인 지구 정복,10,
154,종말의 끝,10,영화의 끝이다. 정말 끝이다
155,슈렉 3,8,:) :) :) :) :) :) :) :) :) :) :) :) :) :) :) :)
156,아임 히어로 더 파이널,10,딸내미랑  함께 영화를 봤는데임영웅 님의 다채로운 매력에 웅며 들었다며 너무나도 멋진 아티스트라고 하네요최고 아티스트의 최고 뮤비 정말 감동이었습니다팬이 아니더라도 꼭 한번 기회가 되신다면 아임히어로 더 파이널 한번 보시고임영웅 님의 많은 매력과 메시지에 감동 받으시길 적극 추천합니다
157,샤잠! 신들의 분노,6,신들이 왜 분노 했는지 알겠다...
158,블랙폰,10,생각보다 탄탄한 빌드업과 주인공들의 연기로 꽉 채운 영화
159,낮과 달,10,잠들다 깨서 보다 다시 자야하는데 ...  못 자고 끝까지 다 보고 잡니다. ㅋㅋㅋ 여운이 남네요.
160,죽지않는 인간들의 밤,8,연극같은 b급 코메디 영화. 맥주랑 흥행홍하면서 보세요. 때로는 인과관계 안따지고 어이없는 소소함에도 웃고 행복해질 필요가 있어요. 이 영화는 그런 웃긴 영화네요. 감사합니다 감독님!
161,교섭,4,아직도 기억난다  정말 가지마라 가지마라  이야기했는데  기어이 가서  나라 쪽팔리는일을 하는 사람들 세금내고 델고온 이야기
162,조 블랙의 사랑,6,시바 개노잼ㅜ 무슨 3/2가 회사 내용이야 사랑 얘기가 아니라
163,소울메이트,6,소울메이트인 그들이 진우만 없었다면 싸우지도 않았을 것이고 하윤이가 죽지도 않았을 것이다 결론은 진우가 잘못했네 남자때문에
164,압꾸정,1,별1개도 아까운 영화 너무 대충 만든듯
165,루터: 태양의 몰락,10,한국판 출연. 남주 이태곤. 여주 조혜련. 선배 김창완. 범인 권해효. 엄마 이휘향.
166,다음 소희,10,당차고 할말하는 소희도 힘든데 다른 소희들은 얼마나 더 힘들었을까
167,아름다운 희생,10,영사기를 사수하려고 값진 희생을 했지만 영사기도 터지고 소중한 호두 두 알마저 터진 장면을 보고 많이 울었습니다. 정말 위대합니다 선생!
168,사랑에 속고 돈에 울고,10,무뇌봉에 속고 상하이조에 울고
169,낮과 달,10,조은지 - 나는 과거든 미래든 그딴거 필요없도 지금이 딱 좋아. 완전 공감. 과거가 그만큼 힘들었던거. 연가 너무 잘해요. 저랑 나이가 비슷한데 얼굴은 옛날 그대로인데 점점 깊이있고 매력있는 배우인것같아요.
170,스즈메의 문단속,10,"지루할틈이 없는 긴박함과 절실함, 중간중간 여유넘치는 장면에는 귀가 즐거워요. 개인적으론 마블보다 재밌었어오...ㅎ"
171,더 퍼스트 슬램덩크,10,소름돋았다…진심…이제야 보다니
172,소울메이트,8,잔잔하게 진행되는 이야기였지만 다 보고 난뒤에 여운이 강하게 남는 영화였다. 물론 그와는 별개로 등장인물들의 이야기에 전부 공감하지는 못했던 거 같다.
173,세자매,10,정말 인상깊게 봤어요.
174,플레인,7,리암리슨의 액션쾌감은 몇년 가질 못했지만 제라르 버틀러의 액션쾌감은 10년이 넘었는데도 여전한  평균치 이상의효력이 있다.
175,낮과 달,10,의외로 영화가 재미있다.
176,서부 전선 이상 없다,10,앵글로색슨과 금융유대인 쓰레기들이 일으킨 전쟁 피흘리는건 숭고한 게르만민족
177,케빈에 대하여,4,쓸데없이 부부관계하는 장면들이 여러번 나오는데 감독은 혹시 엄마에대한 아들의 질투로 시작된 정신적 미약을 얘기하고 싶었던걸까? 암튼 영화는 노잼.
178,블러드 레드 스카이,10,"이런 레전드 뱀파이어 영화가 평점 5점대라니내 인생 공포,감동,몰입도까지 이렇게 완벽한영화는 없었다"
179,영웅,10,"아 간만에 좋았다. 영화보는것 같았네. 국뽕이 누가 지루하다더냐. 사실 국뽕만큼 재밌는게 어딨다고.우리끼리라도 우리가 잘한다고 칭찬해야지., 정성화 노래는 잘하는것도 맞지만 증말 가슴을 후벼파네.김고은이 너무너무잘해서 놀랐고, 박진주도 어마어마하고..  마지막 나문희님 노래는 세상에나 .. 후훠"
180,아수라,10,넷플로 이제야 봤는데 연기력이며 연출이며 시간가는줄 모르고 봤습니다
181,다음 소희,10,이영화 안보는 사람없이 모두봤으면 좋겠어요.어떤식으로든 누가됐든 바꿀수있는 계기가되었으면 합니다.
182,완벽한 타인,10,이런류의 영화는 처음본다. 앞으로도 보기 힘들 스타일..
183,마녀(魔女) Part2. The Other One,10,한국영화 시리물중에 수준급인 영화
184,주(咒),10,"끝에 그 구멍 뭔가요?암튼 영화 끝나고 나면 피나게 긁고 있는 내자신을 발견하고 속도 안좋아서 지금 이렇게 쓰는것도 힘들고 귀찮음! 다른공포영화잊고싶음그냥보세요 유전,미드소마는 청순한거였음 ㅎ"
185,미드나잇 익스프레스,9,지옥에서 나가고 싶으면 직접 나가야된다. 아무도 나를 도와주지 않을것이다.
186,아임 히어로 더 파이널,10,엄마 보여드렸는데 매우 만족하셨어요♡
187,신비한 동물들과 덤블도어의 비밀,8,덤블도어의 비밀이라기엔 넘 약하고 신비한 동물도 넘 부족하고 아쉬움이 많았지만 해리포터 프리퀄로 재밌게봤어요
188,압꾸정,1,너무 재밌게 봤습니다.
189,비바리움,1,인간 삶의 관해서 나름의 생각 대로 풀어 낸 모양인데....진짜 개줬같아요 공감가는 부분도 있었고 하지만 다보고나면 기분 더러운 영화입니다추천하고 싶지 않네요 보지마세요 호불호가 갈린다의 문제가 아닙니다진짜 기분 개더러워지는 영홥니다
190,소울메이트,8,재밌음 김다미 연기잘함
191,다음 소희,10,마음이 아프네요아이들의 얘기에 조금만 더 귀기울여 주시길..
192,스즈메의 문단속,10,
193,영웅,10,잊어선 안되는 우리의 역사.. 정말 감사합니다
194,소울메이트,10,등장인물의 서사 및 스토리 연계성이 그 어느 작품과는 차별점을 명확히 드러냈음을 잘 체감할 수 있어서 매우 좋은 작품이라고 생각합니다.
195,나비 효과,10,매 순간의 선택과 작은 행동 하나 하나가 인생을 바꾼다
196,블랙폰,7,진정한 마기꾼을 볼수있었다.
197,더 수어사이드 스쿼드,5,스토리가 개판인데 이걸 또 후속작 낼생각으로 쿠키영상 추가한게 레전드.존시나로 다음 후속작 뭐또 하려나 본데 전혀 기대가안됨...;; 기존 오리지날 캐릭들 다죽여버리고 갑분 존시나...;;
198,다음 소희,10,대한민국 현주소를 너무나도 잘보여주는영화
199,스즈메의 문단속,9,
200,영웅,8,안중근이 노래를 잘하는지 추가로 알게된영화;;
201,스즈메의 문단속,10,안타까운 실화를 바탕으로 상처를 치유하는 희망의 영화!! 최고였음
202,더 웨일,5,돌팔이 간호사  저게 친구냐??친구를 가장한 악마지.환자를 방치한 죄로감옥에서 몇 년 동안 미트볼만 처 먹여라.
203,8월의 크리스마스,6,사랑이라는 감정을 선물해준 여름의 산타
204,스즈메의 문단속,10,사실 날씨의 아이는 기대이하였어서 이번에는 어떨까 했는데 다들 너의이름은이 넘사벽이라고 하지만 개인적으로 저는 너의이름은보다 이번편이 더 재밌었고 인생 처음으로 두번 본 영화가 되었네요 (물론 이전영화들도 재미있게 봤지만요!) 도쿄상공노래 나오는 부분은 특히나 두번째봐도 소름돋고 또 보고 싶어요 ㅠㅠ 제가 원래 감동위주의 스토리 영화보다는 해결해나가는? 그런 사건위주의 스토리를 조금 더 좋아하는 편이라 그런지 스펙타클하고 다 완벽히 좋았어요  앞으로도 좋은영화 많이 만들어 주세요
