Title,Score,Comment
인민을 위해 복무하라,10,중국거장 소설가 원작첨엔 뭐지 수준이? 하다가 중간 넘어서 집중그시대 중국의 권력 성욕 인간본능 억제 뭔가 영화의 마지막을 보고 여운이남네개인적으로 여운이남는 영화를 선호함
좀비캠프,2,나도 감독이 가능하겠구나하는 확신을 주는 영화
육사오(6/45),9,간만에 웃기고 따뜻한 영화였습니다 요즘 코미디 영화가 많이 나오지 않아 아쉬웠는데 불편한 점 없이 무난하게 재밌는 한국 코미디 영화였어요
용문객잔,10,중국고전무협의 정수. 투박하지만 cg와도 같은 기교를 부리지 않아 이질적이지 않은 액션들이 좋다.
한산: 용의 출현,7,잘 만든 영화는 맞지만 개인적으로 그렇게 재미있었는지는 잘 모르겠어요
레옹,10,마지막 마틸다와의 함께 떠나 사랑을 하고 뿌리를 내리려하는 레옹.. 하지만 레옹을 잃고 그 꿈을 화분으로 뿌리를.. 순수한사랑으로 마무리하면서 레전드 OST가 흘러나오네요
헌트,7,
육사오(6/45),10,신선한 소재가 돋보였다. 이이경 존웃 ㅋㅋㅋ
그린랜드,8,이거 보느니 아바타 리마스터링 보겠습니다
한산: 용의 출현,1,"한국영화의 가장큰 단점이 여실히드러난다. 인력풀은 낮지, 제작사 입장에선 검증된사람쓰는게 리스크줄이는거지,,그러니 일본어초급반이 들어도 어색한 일본어구사와 윤제문, 조재윤두명은 일본인으로 출연 자체가 선넘은거고,, 나대용은 왠지 조선족같고 총체적난국임. 그나마 김성규배우 혼자 배역에 몰입된거같음. 앞으로 시대극은 최소한 일본인만큼은 데려와 씁시다??"
한산: 용의 출현,10,"연출, 연기, 스토리 무엇 하나 빠질 게 없는 영화네요. 두 시간 넘는 시간동안 너무 재밌게 봤어요. 감동이에요 ㅠ"
육사오(6/45),10,가볍게 보기 좋은 영상. 함께보면 더 좋은 영화
텔 잇 투 더 비즈,10,벌 좋아하는 사람들 보면 감동 받을 듯
비상선언,7,너무 반전이나 디테일에 촛점을 맞추지 않는다면 재난영화로 충분히 볼만합니다..
돌연변이 특공대 닌자거북이 시즌1,7,보고 있으면 피자가 먹고 싶다
헌트,10,루즈하지 않고 심파도 없고 2시간동안 긴장감 넘침
헌트,10,외국인 대사 안들린거 빼놓고는 올해 최고로 재밌게 봄
육사오(6/45),4,"그냥 재미없음. 중간에 롤린 무표정으로 봤음. 설마 그걸 웃으라고 연출한거라면..난생 처음으로 댓글 알바가 있구나, 라는걸 체감했습니다. 평점 4~5점대가 적당함. 진짜 14000원주고 본거 돈 아까워 죽겠습니다.러브라인은 도대체 왜 넣은건지? 베플 독일어 장면도 b급 코미디유투브 감성.억지웃음유발."
한산: 용의 출현,10,재미있었어요. 연출도 각본도 다 좋았아요.
브루스 올마이티,7,약간은 유치하지만 감동도 있고 누구나 한번쯤은 꿈꾸어 봤을 법 만한 일들..
외계+인 1부,10,2부 기대합니다. 저는 너무 재밌게 봤어요
비트,10,지기네  솨라있다  정우성
육사오(6/45),9,간만에 실컷 웃고  왔네요개연성  있는  스토리 좋아요
드라이빙 미스 데이지,10,10점
사랑할 땐 누구나 최악이 된다,8,나의 모습과 닮아있어서 공감이 많이 되었다. 마지막에 홀로 선 모습이 보기 좋았다.
외계+인 1부,8,초반보다 후반부터 몰입도가 강해지고 재밌게 봄. 초반은 예고편에서 너무 많이 보여줘서 그런가 약간 지루했음. 등장인물 많지만 이야기도 재밌고 산만하지 않았고 아이언맨보다 재밌었음.
불릿 트레인,6,빵형 이제 영화 선택 잘해줘…
락다운 213주,6,놀랄만한 내용이나 인상적인 모습은 없고 예상대로 흘러서 예상대로 끝난다
불릿 트레인,4,브레드 영화중 첨으로 보다만 영화..브레드 아까비..
육사오(6/45),2,와 핵노잼 중간에 나가고 싶은 충동 누르기 힘들었습니다 기대하지말고 보세요
리미트,8,밀도높게 달려가는 게 좋았어요!
헌트,7,각본은 좋네
탑건: 매버릭,10,오프닝 화면 나올 때부터 눈물이 나오더라. 여전히 지 잘랐다 영화만든 탐이 재수탱이지만 탐이기에 가능한 영화!! 진짜 잘만들었다
모럴센스,2,어우야...내가 뭘본거지? 서현 팬이라서 끝까지 보긴 했음..
서울대작전,2,내가 뭘보고 있는건지...안본눈을 사야할판
서울대작전,2,어휴.. 최근 국내 영화들 꼴을 보면..맨날..반일과 5공으로 선동질이니..차리리 범죄도시같은게 젤 낫다.
서울대작전,10,동생이랑 같이 봤는데 재밌어서 시간 순삭당함  재밌기만한데….?
우리도 사랑일까,8,사랑한다고말하고싶어하는 그마음...기혼자들은 공감하는부분이있을거같습니다.
아라시 20주년 투어 콘서트 5X20,10,상영해주셔서 감사합니다
서울대작전,6,이정도면 80년대 겨냥하고 나와도 망했겠다
코코순이,10,~코코순이 ~좋은영화 만들어주셔서 감사합니다
헌트,10,너무 재밌게 봤어요! 배우들 연기 잘하고 카메오들 찾아보는 재미도 있어요 ㅎㅎ
외계+인 1부,4,"유치함, 수많은 인물, 부족한 정보전달, 정신없는 설정과 세계관, 코믹한척 하는데 하나도 안 웃김마약, 이하늬, 유재명 등 낭비되는 씬거의 모든 인물들이 왜 저러는지 설득력이 부족함..건질건 배우들의 좋은 연기력 (썬더 목소리 빼고)"
웨스트 사이드 스토리,8,61년 영화를 다시보니 22년 영화나 그때나 남배우 캐스팅이 왜 그런지 알겠다….. 여자 잘 못 만나서 그 가족때문에 죽어야 되거든. 아무튼 세계를 변화시킨 인물이고…
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
사랑할 땐 누구나 최악이 된다,2,처음엔 긴가민가 했지만 끝까지 폐미 영화
헌트,9,어설프게 다른거 하려는거보다 잘하는 것에 집중하는 점이 마음에 듭니다
리미트,9,배우님들의 연기에 박수를 보냅니다.
서울대작전,1,영화 보다가 꺼버리게 만드는 완성도
실종,4,배우들 캐스팅 연기 다 좋은데요 내용이 .. 납치된 딸도 발암유발이고 보다가 욕나온 영화 처음이에요. 너무 짜증났어요
서울대작전,1,어디서 본 것 같은 장면들만 모아놓았는데 그마저도 제대로 못함. 세명의 빨간아디다스츄리닝 입은 설정은 웨스 앤더슨의 The Royal Tenenbaums의 복붙이라 오글오글
아이 엠 샘,10,"완벽한 스토리와 숀펜, 다코나 패닝의 연기력까지..억지 감동이 아닌 잘짜여진 전개속 감동의 쓰나미가 몰려온다.."
육사오(6/45),10,짜오어어우우오옹 개재밌다ㅜ쟌까ㅜ하 이 배우들 진짜 잘 짜였다 와 유ㅠ사랑해
헌트,8,생각했던것 보단 좋네요
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,최고의 가수 김호중의 빛이나는 사람 너무 좋아요
어벤져스: 엔드게임,10,MCU의 시대에 살고 있다는 것이 얼마나 축복인지. 내가 이걸 온전히 즐길수 있었다는 것 자체가 행복이었다. 개봉을 기다리고 예매전쟁에 뛰어들고 했던 시간 조차 즐거움이었다. 10년의 아름다운 피날레.
악마는 사라지지 않는다,8,동물의 왕국을 보는것 같았다. 유일하게 인간같았던 헤일리 베넷의 이른죽음 이후 포식자들 사이에서 생존한 주인공이 성장한후에 포식자가 되어가는 모습이 아릿했다. 모든것을 끝내고 떠난후에는  다시 시작할수 있을까..
비상선언,10,난 재밌게 봤음 스토리는 좀 허접한데 배우들이 다 베테랑들이라서 연기에 몰입해서 잘봄
서울대작전,1,본 시간이 아까워 평점 보러왔더니 적절한 평점 나와있네요 유아인 연기력도 없지만 팬도 없는 듯
82년생 김지영,1,OOO기 같은 영화. 피해망상증 환자가 감독인가? 남성을 나쁘게 인식하게하는 모든 상확을 억지로 짜집어서 만든 쓰레기 삼류 쿵쾅이 영화. 극혐스럽니다. 여자만 힘드냐? 작작 징징거려라 꼴보기싫다
헌트,3,별 감흥도 내용도 연기도 없음
미싱타는 여자들,10,가슴이 울리는 영화 한번은 꼭보기
노스맨,7,사운드가 매력적인 영화다
썬다운,8,실존과 죽음에 관한 무의미함을 담은 매력적인 영화
서울대작전,2,유아인 연기는 이제 끝난듯.. 다 똑같아 무슨 영화를 볼때마다
한산: 용의 출현,10,참 좋은 영화 국뽕이 절로 차오름
탑건: 매버릭,10,최고… ㅠㅠ 또 볼 거임 제발 계속 영호ㅓ관에서 틀어주길
탑건: 매버릭,10,최고… ㅠㅠ 또 볼 거임 제발 계속 영호ㅓ관에서 틀어주길
서울대작전,1,하..내시간 내눈 어쩔
육사오(6/45),10,킬링타임용 영화지만 가볍게 웃으면서 보는 이런 코미디 영화 너무 좋음
리미트,10,10점 만점에 10점~
서울대작전,1,"영화 시작 한지 30분만에 동생이 나에게 그랬다. ""형 끝까지 볼거야?"""
탑건: 매버릭,10,말해뭐해 그냥 올해 영화중에 탑
헌트,10,지루함은 1%도 없었던 125분
탑건: 매버릭,10,간만에 재미있는 영화봤네요
탑건: 매버릭,10,이 이상 뭘 더 원 합니까! 진짜 어우 ㅜㅜ
범죄도시2,1,솔직히 나는 진짜 1에 비해서 별로 없음
역전의 명수,9,유치할줄 알았는데 재미와 감동까지..
육사오(6/45),10,최고웃겨용 짱짱잼잼ㅋㅋ
탑건: 매버릭,10,올해 최고의 영화임 강추
헌트,10,정말 재미 있게 보았습니다.
사랑할 땐 누구나 최악이 된다,8,지루하지 않고 공감도 됨
만추,10,마음이 단단한 한 여인의 사랑에 관한 자신만의 삶의 철학으로 견뎌내는 삶.. 또 다른 사랑은 신이 주신 선물인 것으로..
서울대작전,8,솔직히 이정도 평 받을 작품은 아님레트로 감성가득하고 가볍게 보기에 좋음
바람이 분다,1,"반일을 정신병이라 부르는 니들이 정신병환자라는 생각은 절대 못하지? 니들이 한국인이면 개구리처럼 해부당하고 손,발가락 얼려 부러뜨린 쪽바리들과 억울한 조상님들을 생각해서라도 작품성을 봐야한다는 둥하는 그런 헛소리는 입밖에도 못 꺼낼거다. 미친 병자들아!!  혐한이 현재진행중인데도 다케시마는 니들 본국꺼라 생각하겠지? 가해자들이 혐한을 하는데도 괴상하고 어처구니없다는 생각은 안드냐? 너희같은 넘들이 대부분 트럼프 같은 똘이나 찬양하고 태극기 흔들고 다니는 넘들이지. 친일파들이 태극기를 흔드는 미친 세상.. 대체 어떤 교육을 받고 자라면 저런 마인드를 가지고 부끄러운 줄 모르고 떠들 수가 있는지 참.."
서울대작전,1,역대 한국영화 최악의 영화로 손꼽힐 만한 작품임… 넷플릭슨는 안목을 좀 길어야할듯
육사오(6/45),10,킬링타임용으로 적당함 재밌음
리미트,8,영화는 그냥 볼만함. 가장 큰 장점은 적당한 러닝타임.
외계+인 1부,8,외계인 2부 얼른 보고싶어염 ㅎㅎ
외계+인 1부,10,장봤어용~2부 기대용~
육사오(6/45),10,와 간만에 진짜진짜 많이 웃었습니다  오랜만에 이런영화 좋아요 다들 연기도 굿
트리플 엑스,8,스노보드 눈사태장면은 진짜 어마어마하다
육사오(6/45),10,간만에 눈물나게 웃었네요~~박희진과 곽동연 차안씬은 웃음버튼!ㅋㅋ
헌트,7,외국인들 한국어를 꼭 넣어야 했을까요...CIA국장이랑 정우성이랑 까페(호텔?)에서 외국인 나오는 씬에서 몰입을 깨는 목소리 톤이 아쉬워요
쇼생크 탈출,10,한번 보면 멈출 수 없는 영화입니다 반전과 스토리 연출 또한 모두 최고였던 영화였습니다 지금까지 제가 봤던 영화중에서 인생영화중 하나이고 마지막에 은은한 감동을 선사하면서 끝나는 것까지 처음부터 끝까지 지루한 부분도 없고 재미있었습니다
외계+인 1부,10,VOD로 봤는데 재미있었음2부는 영화관에서 봐야지!!네이버 평점 마이 짜네.... ㅜㅜ
한산: 용의 출현,2,전반적으로 지루했었다
모퉁이,10,개인적으로 올해 본 영화중에 가장 좋았습니다.
니 부모 얼굴이 보고 싶다,8,재밓게 잘 봤습니다.
닥터 스트레인지: 대혼돈의 멀티버스,8,호불호가 갈릴 것 같은 영화
한산: 용의 출현,2,국뽕 영화~ 외국인들이 보면 돈 아깝다 하겠지
토르: 러브 앤 썬더,7,시기상 너무 다크하게 가긴 그랬을 듯
토르: 러브 앤 썬더,7,시기상 너무 다크하게 가긴 그랬을 듯
놉,7,영화가 어려워요 영상미는 좋았습니다
탑건: 매버릭,10,보는 내내 가슴이 웅장해지면서 마음속에 뭔지 모를 그리움이 느껴졌음 톰아저씨의 최고 걸작이자 내 인생 최고의 영화
앵커,6,재미없고 허술한 연출에 좀 웃음났네요
신비한 동물들과 덤블도어의 비밀,7,동물들 나올 때만 재밌어요 .
시맨틱 에러: 더 무비,10,드라마로 보고 영화로 또봐도 또 재밌으면 말 다한거 아닙니까 넘 재밌어요
수퍼 소닉2,7,전편과는 딴 판이다. 꽤 재밌음
서울대작전,8,B급 레트로감성 뮤직비디오 영상미로 새로운 시도같음.넷플 아니면 어디서 시도 해보겠나요.나름 즐 감상했음요. 요즘 아이들에게 힙할듯.
중경삼림,7,왕가위 감독과는 잘 안 맞는 것 같다.
공기살인,5,재미없어요 시류성이 있다는 건 알겠지만 지루.
서울대작전,2,영화중 각그렌져만 보였다.
닥터 스트레인지: 대혼돈의 멀티버스,7,완전 호러로 갔어야 했는데 유치해서 아쉽네요
니 부모 얼굴이 보고 싶다,6,등장인물들의 선택이 이해가 안가고 개연성이 떨어지는 듯
범죄도시2,8,"재밌습니다. 유머도 좋고, 빌런 존재감도 있고요"
육사오(6/45),10,"웃겨 죽는 줄 알았어요. 대작이나 멋진 영화들은 깊이있지만 가끔 부담스러운데, 스트레스 날리고 가볍게 보기 좋은 것 같아요. 주연 조연들 연기 모두 찰떡! 한번 더 보러 갈랍니다."
쥬라기 월드: 도미니언,4,공룡이 무섭고 쫄려야 하는데. 메뚜기떼만 나오네요
서울대작전,10,
한산: 용의 출현,4,같은 감독 작품이 맞는지 의심스러운 수준이다.미스캐스팅에 몇몇배우빼곤 한심한 수준의연기 특히 윤제문.김성균..700만이 놀라울 따름이다.
브로커,4,최악입니다. 배우가 아까워여
버즈 라이트이어,7,픽사인데 그저 그런 평이한 애니네요
리미트,6,조금 스토리가 탄탄하지 못하고 부족한거 같아요.
마녀(魔女) Part2. The Other One,10,액션씬 보는 맛과 등장인물 구경하는 재미로 봤어요
탑건: 매버릭,10,정말 재밌게 잘 봤습니다! !
감동주의보,6,"음, 지루하고 재미없었네요 ."
헤어질 결심,9,최고입니다 잘 봤습니다!
한산: 용의 출현,10,국뽕이 차오른다.전 명량보다 더 괜찮았어요..
노스맨,6,"영상, 사운드..는 좋았지만, 영화는 내 취향이 아니라..지루했음"
육사오(6/45),10,라이트하게 보기 좋아요~~~
토르: 러브 앤 썬더,8,마블치고 스케일이 작은 듯한 느낌
리미트,5,아무 기대없이 보면 그럭저럭 볼만은 하다
미니언즈2,5,귀엽고 또 귀엽긴 한데..
외계+인 1부,7,염정아 조우진님 나오는 씬들이 재밌어요
남쪽으로 튀어,10,
한산: 용의 출현,7,큰 스크린으로 전쟁씬 보는 맛으로 잘 봤습니다.
